GameDate, GameID, Visitor, Home
2026-02-28,0022500866,LAL,GSW
2026-02-28,0022500867,NOP,UTA
2026-03-01,0022500868,SAS,NYK
2026-03-01,0022500869,CLE,BKN
2026-03-01,0022500870,MIL,CHI
2026-03-01,0022500871,MIN,DEN
2026-03-01,0022500872,MEM,IND
2026-03-01,0022500873,POR,ATL
2026-03-01,0022500874,PHI,BOS
2026-03-01,0022500875,DET,ORL
2026-03-01,0022500876,OKC,DAL
2026-03-01,0022500877,NOP,LAC
2026-03-01,0022500878,SAC,LAL
2026-03-02,0022500879,HOU,WAS
2026-03-02,0022500880,BOS,MIL
2026-03-02,0022500881,DEN,UTA
2026-03-02,0022500882,LAC,GSW
2026-03-03,0022500883,DAL,CHA
2026-03-03,0022500884,DET,CLE
2026-03-03,0022500885,WAS,ORL
2026-03-03,0022500886,BKN,MIA
2026-03-03,0022500887,NYK,TOR
2026-03-03,0022500888,SAS,PHI
2026-03-03,0022500889,OKC,CHI
2026-03-03,0022500890,MEM,MIN
2026-03-03,0022500891,NOP,LAL
2026-03-03,0022500892,PHX,SAC
2026-03-04,0022500893,OKC,NYK
2026-03-04,0022500894,CHA,BOS
2026-03-04,0022500895,UTA,PHI
2026-03-04,0022500896,POR,MEM
2026-03-04,0022500897,ATL,MIL
2026-03-04,0022500898,IND,LAC
2026-03-05,0022500899,DAL,ORL
2026-03-05,0022500900,UTA,WAS
2026-03-05,0022500901,BKN,MIA
2026-03-05,0022500902,GSW,HOU
2026-03-05,0022500903,TOR,MIN
2026-03-05,0022500904,DET,SAS
2026-03-05,0022500905,CHI,PHX
2026-03-05,0022500906,LAL,DEN
2026-03-05,0022500907,NOP,SAC
2026-03-06,0022500908,DAL,BOS
2026-03-06,0022500909,MIA,CHA
2026-03-06,0022500910,POR,HOU
2026-03-06,0022500911,NYK,DEN
2026-03-06,0022500912,NOP,PHX
2026-03-06,0022500913,LAC,SAS
2026-03-06,0022500914,IND,LAL
2026-03-07,0022500915,ORL,MIN
2026-03-07,0022500916,BKN,DET
2026-03-07,0022500917,PHI,ATL
2026-03-07,0022500918,LAC,MEM
2026-03-07,0022500919,UTA,MIL
2026-03-07,0022500920,GSW,OKC
2026-03-08,0022500921,BOS,CLE
2026-03-08,0022500922,NYK,LAL
2026-03-08,0022500923,DET,MIA
2026-03-08,0022500924,DAL,TOR
2026-03-08,0022500925,WAS,NOP
2026-03-08,0022500926,ORL,MIL
2026-03-08,0022500927,HOU,SAS
2026-03-08,0022500928,CHA,PHX
2026-03-08,0022500929,IND,POR
2026-03-08,0022500930,CHI,SAC
2026-03-09,0022500931,PHI,CLE
2026-03-09,0022500932,MEM,BKN
2026-03-09,0022500933,DEN,OKC
2026-03-09,0022500934,GSW,UTA
2026-03-09,0022500935,NYK,LAC
2026-03-10,0022500936,MEM,PHI
